run_id,run_type,as_of_date,started_at,finished_at,status,requested_collectors,completed_collectors,failed_collectors
553f9eca-cc9a-47ff-afa1-2292ddf353e8,daily,2026-09-18,2026-09-18T03:20:20+00:00,2026-09-18T03:21:44+00:00,partial,"[""gsc"", ""ga4"", ""serper"", ""ai_visibility""]","[""gsc"", ""ga4"", ""serper""]","{""ai_visibility"": ""RateLimitError""}"
f7e255c9-f49b-4da0-83aa-7d77e8f72232,daily,2026-09-18,2026-09-18T03:20:00+00:00,2026-09-18T03:20:06+00:00,partial,"[""gsc"", ""ga4"", ""serper"", ""ai_visibility""]","[""gsc"", ""ga4""]","{""serper"": ""TrackingError"", ""ai_visibility"": ""RateLimitError""}"
04a2cb39-4d24-44bf-a4d1-4f1c5cb289c1,daily,2026-09-18,2026-09-18T03:19:12+00:00,2026-09-18T03:19:12+00:00,failed,"[""gsc"", ""ga4"", ""serper"", ""ai_visibility""]",[],{}
f8ca1b93-28d0-43a5-8601-d270a1061d72,daily,2026-09-17,2026-09-17T14:05:16+00:00,2026-09-17T14:06:51+00:00,partial,"[""gsc"", ""ga4"", ""serper"", ""ai_visibility""]","[""gsc"", ""ga4"", ""serper""]","{""ai_visibility"": ""RateLimitError""}"
7701a878-616e-4d19-b3be-d4085a4461ac,manual,2026-09-17,2026-09-17T10:08:08+00:00,2026-09-17T10:08:22+00:00,succeeded,"[""serper""]","[""serper""]",{}
092ca5e0-471c-4880-8bac-1462c671bd54,manual,2026-09-17,2026-09-17T09:48:12+00:00,2026-09-17T09:50:58+00:00,succeeded,"[""serper""]","[""serper""]",{}
acfc4d0d-9d2c-4016-b8bd-422411a05ee4,manual,2026-09-16,2026-09-16T08:30:08+00:00,2026-09-16T08:31:38+00:00,succeeded,"[""serper""]","[""serper""]",{}
d6629f98-e667-4a75-806b-f636c2b018ec,backfill,2026-09-13,2026-09-16T08:02:57+00:00,2026-09-16T08:04:00+00:00,succeeded,"[""gsc"", ""ga4""]","[""gsc"", ""ga4""]",{}
20cc1bec-de52-4fc3-89a1-82af76f03957,manual,2026-09-16,2026-09-16T06:53:05+00:00,2026-09-16T06:53:07+00:00,succeeded,"[""gsc""]","[""gsc""]",{}
b1451d2b-c95e-4692-921f-eed254b8898e,manual,2026-09-16,2026-09-16T06:48:23+00:00,2026-09-16T06:48:25+00:00,succeeded,"[""ga4""]","[""ga4""]",{}
215b28f6-c068-4f4f-8e62-548529e324ea,manual,2026-09-16,2026-09-16T06:48:17+00:00,2026-09-16T06:48:19+00:00,succeeded,"[""gsc""]","[""gsc""]",{}
1ab37898-2549-4178-8a18-10989f3c1376,manual,2026-09-15,2026-09-16T02:01:58+00:00,2026-09-16T02:02:00+00:00,succeeded,"[""serper""]","[""serper""]",{}
c27ae3db-1fc1-43de-8a5a-d8e78271ada8,manual,2026-09-15,2026-09-15T10:18:39+00:00,2026-09-15T10:18:43+00:00,succeeded,"[""ga4""]","[""ga4""]",{}
94c29013-9008-4490-bbe3-d1a2bf14cd55,manual,2026-09-15,2026-09-15T10:18:38+00:00,2026-09-15T10:18:39+00:00,succeeded,"[""gsc""]","[""gsc""]",{}
